date,facility,production_line,shift,units_produced,defects,defect_rate,downtime_minutes,energy_kwh,labor_hours,oee_score,maintenance_cost_usd
2025-01-02,Plant_Alpha,Line_C,Afternoon,1237,47,0.038,14.5,2678.5,7.93,0.825,166.24
2025-01-02,Plant_Alpha,Line_C,Night,1036,35,0.0338,12.4,2265.4,8.14,0.747,204.92
2025-01-02,Plant_Beta,Line_A,Morning,873,42,0.0481,8.2,1885.7,7.98,0.642,183.18
2025-01-02,Plant_Beta,Line_A,Afternoon,846,29,0.0343,17.4,1799.9,8.01,0.765,138.7
2025-01-02,Plant_Beta,Line_A,Night,693,30,0.0433,15.4,1513.6,8.02,0.865,191.05
2025-01-02,Plant_Beta,Line_B,Morning,885,34,0.0384,20.6,1840.6,8.0,0.741,214.98
2025-01-02,Plant_Beta,Line_B,Afternoon,837,33,0.0394,18.6,1761.2,7.96,0.76,197.72
2025-01-02,Plant_Beta,Line_B,Night,699,23,0.0329,17.7,1494.9,8.04,0.76,224.92
2025-01-02,Plant_Beta,Line_C,Morning,876,28,0.032,15.7,1928.1,8.03,0.804,241.69
2025-01-02,Plant_Beta,Line_C,Afternoon,827,32,0.0387,16.5,1790.4,7.94,0.775,186.52
2025-01-02,Plant_Beta,Line_C,Night,698,32,0.0458,12.6,1479.2,8.06,0.691,132.67
2025-01-02,Plant_Gamma,Line_A,Morning,834,31,0.0372,16.6,1755.9,7.92,0.698,187.04
2025-01-02,Plant_Gamma,Line_A,Afternoon,774,30,0.0388,13.5,1694.1,8.0,0.784,212.11
2025-01-02,Plant_Gamma,Line_A,Night,665,27,0.0406,15.6,1383.4,8.04,0.769,224.26
2025-01-02,Plant_Gamma,Line_B,Morning,817,30,0.0367,11.7,1796.5,7.95,0.711,221.21
2025-01-02,Plant_Gamma,Line_B,Afternoon,782,26,0.0332,17.9,1718.4,8.04,0.801,182.62
2025-01-02,Plant_Gamma,Line_B,Night,666,23,0.0345,14.9,1427.8,7.95,0.788,239.09
2025-01-02,Plant_Gamma,Line_C,Morning,830,39,0.047,12.7,1734.3,8.03,0.717,180.03
2025-01-02,Plant_Gamma,Line_C,Afternoon,768,25,0.0326,9.9,1680.2,7.98,0.768,249.5
2025-01-02,Plant_Gamma,Line_C,Night,673,19,0.0282,16.7,1442.1,8.0,0.762,212.94
2025-01-02,Plant_Delta,Line_A,Morning,861,32,0.0372,17.6,1847.4,7.95,0.756,148.7
2025-01-02,Plant_Delta,Line_A,Afternoon,806,29,0.036,18.6,1771.0,8.03,0.657,221.87
2025-01-02,Plant_Delta,Line_A,Night,703,24,0.0341,15.6,1514.6,7.96,0.778,250.82
2025-01-02,Plant_Delta,Line_B,Morning,866,31,0.0358,14.9,1894.6,7.92,0.788,172.56
2025-01-02,Plant_Delta,Line_B,Afternoon,825,30,0.0364,13.2,1808.1,7.94,0.786,284.85
2025-01-02,Plant_Delta,Line_B,Night,709,22,0.031,11.5,1493.9,8.01,0.776,150.73
2025-01-02,Plant_Delta,Line_C,Morning,857,30,0.035,14.9,1908.6,7.98,0.714,153.53
2025-01-02,Plant_Delta,Line_C,Afternoon,834,30,0.036,12.2,1773.3,7.96,0.774,317.93
2025-01-02,Plant_Delta,Line_C,Night,708,26,0.0367,12.8,1483.8,8.06,0.794,179.52
2025-01-02,Plant_Epsilon,Line_A,Morning,1004,37,0.0369,17.1,2143.2,7.99,0.71,190.81
2025-01-02,Plant_Epsilon,Line_A,Afternoon,952,34,0.0357,16.2,1991.5,8.06,0.777,149.66
2025-01-02,Plant_Epsilon,Line_A,Night,794,33,0.0416,11.6,1683.6,8.0,0.867,167.07
2025-01-02,Plant_Epsilon,Line_B,Morning,996,39,0.0392,12.8,2155.2,7.99,0.743,133.11
2025-01-02,Plant_Epsilon,Line_B,Afternoon,943,41,0.0435,15.3,2063.4,8.03,0.758,169.35
2025-01-02,Plant_Epsilon,Line_B,Night,796,23,0.0289,14.0,1726.4,8.08,0.787,167.44
2025-01-02,Plant_Epsilon,Line_C,Morning,975,37,0.0379,16.3,2121.3,8.06,0.753,230.97
2025-01-02,Plant_Epsilon,Line_C,Afternoon,924,43,0.0465,11.0,2050.8,7.97,0.753,195.46
2025-01-02,Plant_Epsilon,Line_C,Night,799,32,0.0401,18.9,1750.8,8.02,0.848,203.71
2025-01-02,Plant_Zeta,Line_A,Morning,1140,45,0.0395,13.8,2434.7,8.02,0.758,219.53
2025-01-02,Plant_Zeta,Line_A,Afternoon,1079,40,0.0371,5.9,2338.3,7.96,0.717,163.74
2025-01-02,Plant_Zeta,Line_A,Night,893,32,0.0358,13.5,1909.1,8.03,0.867,228.74
2025-01-02,Plant_Zeta,Line_B,Morning,1135,39,0.0344,15.4,2408.4,7.94,0.736,241.74
2025-01-02,Plant_Zeta,Line_B,Afternoon,1084,43,0.0397,10.8,2292.7,7.94,0.769,224.97
2025-01-02,Plant_Zeta,Line_B,Night,900,36,0.04,16.1,1950.2,7.92,0.745,224.8
2025-01-02,Plant_Zeta,Line_C,Morning,1140,41,0.036,16.5,2443.5,7.98,0.817,241.4
2025-01-02,Plant_Zeta,Line_C,Afternoon,1081,43,0.0398,22.0,2267.3,8.12,0.793,250.1
2025-01-02,Plant_Zeta,Line_C,Night,898,38,0.0423,18.2,1898.2,7.96,0.659,192.0
2025-01-03,Plant_Alpha,Line_A,Morning,1271,46,0.0362,23.3,2811.6,7.95,0.79,231.94
2025-01-03,Plant_Alpha,Line_A,Afternoon,1216,49,0.0403,15.1,2578.6,7.97,0.766,204.52
2025-01-03,Plant_Alpha,Line_A,Night,1026,35,0.0341,14.3,2251.3,7.99,0.84,170.45
2025-01-03,Plant_Alpha,Line_B,Morning,1291,48,0.0372,16.7,2732.4,8.08,0.675,273.62
2025-01-03,Plant_Alpha,Line_B,Afternoon,1221,48,0.0393,19.7,2646.6,7.99,0.786,286.84
2025-01-03,Plant_Alpha,Line_B,Night,1023,50,0.0489,15.8,2223.6,7.95,0.753,119.16
2025-01-03,Plant_Alpha,Line_C,Morning,1279,47,0.0367,12.3,2782.7,7.98,0.725,187.15
2025-01-03,Plant_Alpha,Line_C,Afternoon,1227,47,0.0383,13.1,2633.2,8.02,0.704,189.27
2025-01-03,Plant_Alpha,Line_C,Night,1042,41,0.0393,14.4,2244.1,8.0,0.711,182.07
2025-01-03,Plant_Beta,Line_A,Morning,887,34,0.0383,13.3,1915.4,8.0,0.872,177.24
2025-01-03,Plant_Beta,Line_A,Afternoon,818,31,0.0379,14.3,1750.1,8.14,0.775,228.92
2025-01-03,Plant_Beta,Line_A,Night,696,25,0.0359,18.3,1467.0,7.95,0.743,267.77
2025-01-03,Plant_Beta,Line_B,Morning,865,35,0.0405,15.4,1904.3,7.91,0.797,201.1
2025-01-03,Plant_Beta,Line_B,Afternoon,834,28,0.0336,15.2,1775.4,7.95,0.695,175.54
2025-01-03,Plant_Beta,Line_B,Night,702,24,0.0342,13.2,1459.8,7.95,0.811,227.14
2025-01-03,Plant_Beta,Line_C,Morning,870,33,0.0379,12.3,1920.7,8.13,0.767,324.59
2025-01-03,Plant_Beta,Line_C,Afternoon,817,26,0.0318,12.8,1765.7,8.12,0.749,161.74
2025-01-03,Plant_Beta,Line_C,Night,693,31,0.0447,17.6,1500.6,7.93,0.706,277.35
2025-01-03,Plant_Gamma,Line_A,Morning,832,31,0.0373,20.9,1815.3,7.99,0.757,174.65
2025-01-03,Plant_Gamma,Line_A,Afternoon,783,23,0.0294,10.5,1649.4,8.04,0.687,268.62
2025-01-03,Plant_Gamma,Line_A,Night,661,32,0.0484,13.8,1402.3,8.07,0.832,165.7
2025-01-03,Plant_Gamma,Line_B,Morning,825,27,0.0327,14.5,1781.2,8.0,0.667,175.87
2025-01-03,Plant_Gamma,Line_B,Afternoon,794,29,0.0365,14.0,1673.9,7.97,0.829,149.36
2025-01-03,Plant_Gamma,Line_B,Night,674,25,0.0371,15.2,1423.2,7.95,0.758,172.11
2025-01-03,Plant_Gamma,Line_C,Morning,829,33,0.0398,21.2,1784.5,7.9,0.814,182.58
2025-01-03,Plant_Gamma,Line_C,Afternoon,805,35,0.0435,12.7,1707.4,7.97,0.764,226.77
2025-01-03,Plant_Gamma,Line_C,Night,678,28,0.0413,15.1,1493.9,7.99,0.682,145.63
2025-01-03,Plant_Delta,Line_A,Morning,883,32,0.0362,14.7,1851.6,7.98,0.72,210.43
2025-01-03,Plant_Delta,Line_A,Afternoon,823,33,0.0401,15.3,1761.4,7.95,0.686,324.18
2025-01-03,Plant_Delta,Line_A,Night,716,31,0.0433,13.0,1510.9,7.97,0.696,177.55
2025-01-03,Plant_Delta,Line_B,Morning,881,39,0.0443,12.4,1864.6,8.01,0.731,201.82
2025-01-03,Plant_Delta,Line_B,Afternoon,826,34,0.0412,15.6,1756.9,7.98,0.705,147.63
2025-01-03,Plant_Delta,Line_B,Night,700,30,0.0429,11.2,1518.1,8.04,0.673,190.24
2025-01-03,Plant_Delta,Line_C,Morning,883,37,0.0419,9.7,1874.4,7.99,0.797,170.74
2025-01-03,Plant_Delta,Line_C,Afternoon,827,28,0.0339,14.9,1768.2,7.99,0.701,227.14
2025-01-03,Plant_Delta,Line_C,Night,704,20,0.0284,17.4,1511.9,8.03,0.798,212.52
2025-01-03,Plant_Epsilon,Line_A,Morning,1004,35,0.0349,17.9,2138.0,8.02,0.778,245.77
2025-01-03,Plant_Epsilon,Line_A,Afternoon,950,34,0.0358,13.1,2021.3,7.98,0.708,113.21
2025-01-03,Plant_Epsilon,Line_A,Night,779,37,0.0475,13.5,1759.9,8.02,0.758,136.65
2025-01-03,Plant_Epsilon,Line_B,Morning,990,48,0.0485,19.0,2158.5,7.95,0.713,163.75
2025-01-03,Plant_Epsilon,Line_B,Afternoon,958,45,0.047,15.7,2024.3,8.07,0.712,195.7
2025-01-03,Plant_Epsilon,Line_B,Night,806,26,0.0323,12.9,1704.1,8.07,0.857,206.47
2025-01-03,Plant_Epsilon,Line_C,Morning,988,35,0.0354,14.0,2112.0,8.03,0.782,184.12
2025-01-03,Plant_Epsilon,Line_C,Afternoon,940,34,0.0362,13.0,2017.2,8.02,0.67,268.2
2025-01-03,Plant_Epsilon,Line_C,Night,797,33,0.0414,17.9,1693.9,7.96,0.711,190.57
2025-01-03,Plant_Zeta,Line_A,Morning,1135,39,0.0344,17.3,2352.0,7.97,0.818,196.09
2025-01-03,Plant_Zeta,Line_A,Afternoon,1056,36,0.0341,5.6,2253.1,8.03,0.73,189.55
2025-01-03,Plant_Zeta,Line_A,Night,867,26,0.03,20.3,1949.1,7.94,0.734,195.92
2025-01-03,Plant_Zeta,Line_B,Morning,1104,30,0.0272,14.6,2413.3,8.01,0.801,142.52
2025-01-03,Plant_Zeta,Line_B,Afternoon,1070,41,0.0383,13.8,2295.4,7.97,0.615,265.31
2025-01-03,Plant_Zeta,Line_B,Night,908,27,0.0297,16.3,1928.0,7.96,0.72,229.7
2025-01-03,Plant_Zeta,Line_C,Morning,1110,36,0.0324,18.2,2408.7,7.98,0.794,171.9
2025-01-03,Plant_Zeta,Line_C,Afternoon,1057,42,0.0397,10.1,2294.2,7.97,0.797,219.04
2025-01-03,Plant_Zeta,Line_C,Night,908,26,0.0286,13.8,1895.4,7.97,0.65,137.47
2025-01-04,Plant_Alpha,Line_A,Morning,1300,50,0.0385,14.0,2718.0,7.97,0.772,185.99
2025-01-04,Plant_Alpha,Line_A,Afternoon,1245,46,0.0369,14.5,2577.0,8.0,0.766,186.77
2025-01-04,Plant_Alpha,Line_A,Night,1029,41,0.0398,18.9,2227.3,8.05,0.79,240.38
2025-01-04,Plant_Alpha,Line_B,Morning,1280,49,0.0383,14.4,2782.5,8.03,0.766,238.48
2025-01-04,Plant_Alpha,Line_B,Afternoon,1212,50,0.0413,18.6,2640.2,8.03,0.791,170.97
2025-01-04,Plant_Alpha,Line_B,Night,1040,40,0.0385,11.0,2254.5,7.93,0.743,199.04
2025-01-04,Plant_Alpha,Line_C,Morning,1274,49,0.0385,15.9,2722.3,8.02,0.718,289.6
2025-01-04,Plant_Alpha,Line_C,Afternoon,1220,39,0.032,12.2,2671.3,8.0,0.693,233.72
2025-01-04,Plant_Alpha,Line_C,Night,1027,42,0.0409,17.8,2230.7,8.16,0.672,160.0
2025-01-04,Plant_Beta,Line_A,Morning,869,44,0.0506,19.1,1908.9,7.98,0.726,164.72
2025-01-04,Plant_Beta,Line_A,Afternoon,820,39,0.0476,14.3,1767.4,8.05,0.676,211.89
2025-01-04,Plant_Beta,Line_A,Night,690,26,0.0377,13.4,1490.7,8.02,0.767,200.12
2025-01-04,Plant_Beta,Line_B,Morning,873,29,0.0332,17.4,1866.3,7.97,0.721,199.36
2025-01-04,Plant_Beta,Line_B,Afternoon,843,31,0.0368,11.8,1801.0,7.97,0.773,174.51
2025-01-04,Plant_Beta,Line_B,Night,713,24,0.0337,18.3,1479.1,7.96,0.83,206.14
2025-01-04,Plant_Beta,Line_C,Morning,892,31,0.0348,15.4,1927.5,7.95,0.677,176.65
2025-01-04,Plant_Beta,Line_C,Afternoon,832,24,0.0288,16.7,1784.5,8.11,0.815,206.62
2025-01-04,Plant_Beta,Line_C,Night,715,29,0.0406,13.4,1485.1,7.99,0.76,216.05
2025-01-04,Plant_Gamma,Line_A,Morning,804,30,0.0373,15.3,1780.4,8.07,0.767,161.55
2025-01-04,Plant_Gamma,Line_A,Afternoon,769,32,0.0416,12.3,1710.1,8.06,0.687,214.23
2025-01-04,Plant_Gamma,Line_A,Night,680,30,0.0441,8.8,1417.9,7.95,0.788,218.26
2025-01-04,Plant_Gamma,Line_B,Morning,804,30,0.0373,17.2,1782.2,8.03,0.74,156.43
2025-01-04,Plant_Gamma,Line_B,Afternoon,788,30,0.0381,17.0,1712.4,8.0,0.813,177.37
2025-01-04,Plant_Gamma,Line_B,Night,654,27,0.0413,14.8,1450.5,7.91,0.848,220.47
2025-01-04,Plant_Gamma,Line_C,Morning,824,27,0.0328,18.0,1751.7,8.11,0.725,252.93
2025-01-04,Plant_Gamma,Line_C,Afternoon,784,35,0.0446,12.1,1690.8,8.04,0.797,243.89
2025-01-04,Plant_Gamma,Line_C,Night,663,25,0.0377,18.6,1424.2,8.04,0.752,213.0
2025-01-04,Plant_Delta,Line_A,Morning,869,29,0.0334,13.5,1869.3,7.99,0.838,231.2
2025-01-04,Plant_Delta,Line_A,Afternoon,827,28,0.0339,11.9,1820.6,7.97,0.769,218.82
2025-01-04,Plant_Delta,Line_A,Night,699,23,0.0329,12.6,1498.1,7.98,0.828,201.33
2025-01-04,Plant_Delta,Line_B,Morning,863,35,0.0406,17.6,1863.9,8.02,0.696,243.98
2025-01-04,Plant_Delta,Line_B,Afternoon,822,32,0.0389,12.8,1743.4,7.92,0.723,237.19
2025-01-04,Plant_Delta,Line_B,Night,692,21,0.0303,12.6,1502.6,7.99,0.759,241.66
2025-01-04,Plant_Delta,Line_C,Morning,879,44,0.0501,10.5,1835.3,8.06,0.74,230.96
2025-01-04,Plant_Delta,Line_C,Afternoon,829,37,0.0446,18.1,1808.5,7.98,0.755,194.19
2025-01-04,Plant_Delta,Line_C,Night,687,32,0.0466,16.7,1507.8,8.09,0.728,122.51
2025-01-04,Plant_Epsilon,Line_A,Morning,1002,30,0.0299,14.1,2140.5,8.02,0.8,219.61
2025-01-04,Plant_Epsilon,Line_A,Afternoon,948,33,0.0348,15.8,1979.3,8.09,0.691,183.35
2025-01-04,Plant_Epsilon,Line_A,Night,782,26,0.0332,15.5,1697.5,8.06,0.772,174.77
2025-01-04,Plant_Epsilon,Line_B,Morning,989,44,0.0445,17.1,2117.1,7.97,0.785,209.44
2025-01-04,Plant_Epsilon,Line_B,Afternoon,932,40,0.0429,12.5,2069.4,8.02,0.704,173.18
2025-01-04,Plant_Epsilon,Line_B,Night,795,30,0.0377,14.2,1692.9,7.93,0.789,213.3
2025-01-04,Plant_Epsilon,Line_C,Morning,992,40,0.0403,12.3,2132.7,8.16,0.82,189.0
2025-01-04,Plant_Epsilon,Line_C,Afternoon,936,20,0.0214,16.7,2050.6,7.96,0.687,158.83
2025-01-04,Plant_Epsilon,Line_C,Night,801,30,0.0375,17.8,1715.2,8.05,0.781,232.15
2025-01-04,Plant_Zeta,Line_A,Morning,1100,36,0.0327,14.4,2463.9,8.09,0.752,178.41
2025-01-04,Plant_Zeta,Line_A,Afternoon,1042,45,0.0432,12.9,2378.9,7.93,0.864,237.01
2025-01-04,Plant_Zeta,Line_A,Night,884,36,0.0407,18.8,1923.2,8.05,0.806,220.08
2025-01-04,Plant_Zeta,Line_B,Morning,1119,34,0.0304,14.8,2400.1,7.88,0.766,202.54
2025-01-04,Plant_Zeta,Line_B,Afternoon,1053,40,0.038,13.2,2364.3,8.02,0.817,208.36
2025-01-04,Plant_Zeta,Line_B,Night,880,38,0.0432,12.9,1931.5,7.93,0.762,250.07
2025-01-04,Plant_Zeta,Line_C,Morning,1132,52,0.0459,20.0,2347.3,7.93,0.669,220.2
2025-01-04,Plant_Zeta,Line_C,Afternoon,1054,38,0.0361,14.2,2299.4,7.94,0.692,197.7
2025-01-04,Plant_Zeta,Line_C,Night,918,34,0.037,11.8,1865.3,8.02,0.729,153.21
2025-01-05,Plant_Alpha,Line_A,Morning,1258,38,0.0302,12.3,2741.9,7.96,0.771,189.9
2025-01-05,Plant_Alpha,Line_A,Afternoon,1255,36,0.0287,14.8,2633.7,7.97,0.762,229.73
2025-01-05,Plant_Alpha,Line_A,Night,1037,47,0.0453,8.3,2195.3,8.07,0.804,219.02
2025-01-05,Plant_Alpha,Line_B,Morning,1307,37,0.0283,17.3,2802.0,7.95,0.891,209.98
2025-01-05,Plant_Alpha,Line_B,Afternoon,1188,47,0.0396,13.0,2657.6,8.05,0.726,271.52
2025-01-05,Plant_Alpha,Line_B,Night,1051,34,0.0324,14.3,2255.9,7.97,0.748,198.92
2025-01-05,Plant_Alpha,Line_C,Morning,1269,34,0.0268,16.4,2677.2,7.94,0.668,135.28
2025-01-05,Plant_Alpha,Line_C,Afternoon,1228,45,0.0366,14.4,2579.5,7.99,0.78,198.47
2025-01-05,Plant_Alpha,Line_C,Night,1045,43,0.0411,14.3,2159.7,8.01,0.754,161.62
2025-01-05,Plant_Beta,Line_A,Morning,862,34,0.0394,20.9,1863.8,8.02,0.695,246.46
2025-01-05,Plant_Beta,Line_A,Afternoon,836,35,0.0419,19.0,1759.5,7.99,0.845,235.9
2025-01-05,Plant_Beta,Line_A,Night,679,28,0.0412,13.4,1525.7,8.03,0.669,221.16
2025-01-05,Plant_Beta,Line_B,Morning,871,35,0.0402,17.1,1909.3,8.01,0.761,256.35
2025-01-05,Plant_Beta,Line_B,Afternoon,847,35,0.0413,15.7,1788.8,8.01,0.76,287.94
2025-01-05,Plant_Beta,Line_B,Night,694,31,0.0447,13.8,1469.2,7.96,0.732,222.15
2025-01-05,Plant_Beta,Line_C,Morning,872,27,0.031,18.9,1907.6,8.1,0.771,209.84
2025-01-05,Plant_Beta,Line_C,Afternoon,831,29,0.0349,15.3,1766.8,7.94,0.769,177.1
2025-01-05,Plant_Beta,Line_C,Night,699,28,0.0401,18.4,1492.1,8.0,0.724,176.19
2025-01-05,Plant_Gamma,Line_A,Morning,819,30,0.0366,17.0,1774.8,7.93,0.822,235.7
2025-01-05,Plant_Gamma,Line_A,Afternoon,778,34,0.0437,15.8,1686.1,8.01,0.763,213.89
2025-01-05,Plant_Gamma,Line_A,Night,670,25,0.0373,9.0,1448.2,7.99,0.801,220.98
2025-01-05,Plant_Gamma,Line_B,Morning,825,36,0.0436,15.5,1782.6,8.01,0.842,170.49
2025-01-05,Plant_Gamma,Line_B,Afternoon,785,24,0.0306,17.3,1682.2,7.98,0.733,193.4
2025-01-05,Plant_Gamma,Line_B,Night,656,17,0.0259,15.8,1392.5,8.02,0.836,186.11
2025-01-05,Plant_Gamma,Line_C,Morning,838,31,0.037,19.5,1767.0,7.88,0.752,252.47
2025-01-05,Plant_Gamma,Line_C,Afternoon,791,27,0.0341,15.1,1713.2,7.99,0.895,178.65
2025-01-05,Plant_Gamma,Line_C,Night,677,27,0.0399,12.9,1430.4,8.06,0.77,218.49
2025-01-05,Plant_Delta,Line_A,Morning,851,35,0.0411,15.1,1863.9,8.02,0.739,169.46
2025-01-05,Plant_Delta,Line_A,Afternoon,821,29,0.0353,20.8,1794.4,7.97,0.865,187.44
2025-01-05,Plant_Delta,Line_A,Night,702,30,0.0427,9.0,1505.2,7.99,0.772,216.89
2025-01-05,Plant_Delta,Line_B,Morning,867,34,0.0392,18.8,1880.4,7.98,0.767,269.65
2025-01-05,Plant_Delta,Line_B,Afternoon,824,30,0.0364,9.1,1738.6,7.98,0.756,189.55
2025-01-05,Plant_Delta,Line_B,Night,705,25,0.0355,12.6,1526.2,8.07,0.71,210.53
2025-01-05,Plant_Delta,Line_C,Morning,847,27,0.0319,13.7,1886.7,7.99,0.722,198.93
